[Tue Nov 26 17:31:19 2013] [CONFIG] loading file [gproxy.cfg]
[Tue Nov 26 17:31:19 2013] [GPROXY] starting up
[Tue Nov 26 17:31:19 2013] [GPROXY] starting winsock
[Tue Nov 26 17:31:19 2013] [GPROXY] setting process priority to "above normal"
[Tue Nov 26 17:31:19 2013] [UDPSOCKET] using broadcast target [127.0.0.1]
[Tue Nov 26 17:31:19 2013] [GPROXY] Listening for gproxy games on port [6125]
[Tue Nov 26 17:31:19 2013] [GPROXY] Listening for warcraft 3 connections on port 6112
[Tue Nov 26 17:31:19 2013] [GPROXY] GProxy++ Xpam Version 1.8
[Tue Nov 26 17:31:19 2013] [GPROXY] List of commands: !commands
[Tue Nov 26 17:31:19 2013] GPROXY READY
[Tue Nov 26 17:31:19 2013] Waiting W3...
[Tue Nov 26 17:31:20 2013] Waiting W3...
[Tue Nov 26 17:31:20 2013] Waiting W3...
[Tue Nov 26 17:31:21 2013] Waiting W3...
[Tue Nov 26 17:31:21 2013] Waiting W3...
[Tue Nov 26 17:31:22 2013] Waiting W3...
[Tue Nov 26 17:31:22 2013] Waiting W3...
[Tue Nov 26 17:31:23 2013] Waiting W3...
[Tue Nov 26 17:31:23 2013] Waiting W3...
[Tue Nov 26 17:31:24 2013] Waiting W3...
